,Year,County,Property_type,mean_inventory,Median_sales_price,county_ascii,lat,lng
326,2014,El Dorado,Single Family Residential,1120.82,404468.18,El Dorado,38.7787,-120.5247
327,2014,El Dorado,Townhouse,0.8,209000,El Dorado,38.7787,-120.5247
328,2015,El Dorado,All Residential,1214.55,425868.18,El Dorado,38.7787,-120.5247
329,2015,El Dorado,Condo/Co-op,63.64,242336.36,El Dorado,38.7787,-120.5247
330,2015,El Dorado,Multi-Family (2-4 Unit),25.64,373250,El Dorado,38.7787,-120.5247
331,2015,El Dorado,Single Family Residential,1121.18,438936.36,El Dorado,38.7787,-120.5247
332,2015,El Dorado,Townhouse,4,303375,El Dorado,38.7787,-120.5247
333,2016,El Dorado,All Residential,1040.91,457022.73,El Dorado,38.7787,-120.5247
334,2016,El Dorado,Condo/Co-op,46.73,277272.73,El Dorado,38.7787,-120.5247
335,2016,El Dorado,Multi-Family (2-4 Unit),29.09,409545.45,El Dorado,38.7787,-120.5247
336,2016,El Dorado,Single Family Residential,962.64,470504.55,El Dorado,38.7787,-120.5247
337,2016,El Dorado,Townhouse,2.33,287041.67,El Dorado,38.7787,-120.5247
338,2017,El Dorado,All Residential,972.55,493090.91,El Dorado,38.7787,-120.5247
339,2017,El Dorado,Condo/Co-op,30.36,304463.64,El Dorado,38.7787,-120.5247
340,2017,El Dorado,Multi-Family (2-4 Unit),22.6,404550,El Dorado,38.7787,-120.5247
341,2017,El Dorado,Single Family Residential,918.55,503827.27,El Dorado,38.7787,-120.5247
342,2017,El Dorado,Townhouse,1.71,286750,El Dorado,38.7787,-120.5247
343,2018,El Dorado,All Residential,1020.45,530795.45,El Dorado,38.7787,-120.5247
344,2018,El Dorado,Condo/Co-op,35.64,329406.82,El Dorado,38.7787,-120.5247
345,2018,El Dorado,Multi-Family (2-4 Unit),21.73,499261.36,El Dorado,38.7787,-120.5247
346,2018,El Dorado,Single Family Residential,959.09,541531.82,El Dorado,38.7787,-120.5247
347,2018,El Dorado,Townhouse,4.14,369028.57,El Dorado,38.7787,-120.5247
348,2019,El Dorado,All Residential,1225.27,538772.73,El Dorado,38.7787,-120.5247
349,2019,El Dorado,Condo/Co-op,30.55,348409.09,El Dorado,38.7787,-120.5247
350,2019,El Dorado,Multi-Family (2-4 Unit),25.73,450113.64,El Dorado,38.7787,-120.5247
351,2019,El Dorado,Single Family Residential,1154.09,548409.09,El Dorado,38.7787,-120.5247
352,2019,El Dorado,Townhouse,15.5,426750,El Dorado,38.7787,-120.5247
353,2020,El Dorado,All Residential,768.27,569204.55,El Dorado,38.7787,-120.5247
354,2020,El Dorado,Condo/Co-op,24.91,349545.45,El Dorado,38.7787,-120.5247
355,2020,El Dorado,Multi-Family (2-4 Unit),23.64,560681.82,El Dorado,38.7787,-120.5247
356,2020,El Dorado,Single Family Residential,710.73,581818.18,El Dorado,38.7787,-120.5247
357,2020,El Dorado,Townhouse,8.78,525388.89,El Dorado,38.7787,-120.5247
358,2021,El Dorado,All Residential,474.18,698045.45,El Dorado,38.7787,-120.5247
359,2021,El Dorado,Condo/Co-op,8.55,379181.82,El Dorado,38.7787,-120.5247
360,2021,El Dorado,Multi-Family (2-4 Unit),32.91,702431.82,El Dorado,38.7787,-120.5247
361,2021,El Dorado,Single Family Residential,426.91,709281.82,El Dorado,38.7787,-120.5247
362,2021,El Dorado,Townhouse,5.82,514340.91,El Dorado,38.7787,-120.5247
363,2022,El Dorado,All Residential,564,1301000,El Dorado,38.7787,-120.5247
364,2022,El Dorado,Condo/Co-op,6,805000,El Dorado,38.7787,-120.5247
365,2022,El Dorado,Multi-Family (2-4 Unit),35,1250000,El Dorado,38.7787,-120.5247
366,2022,El Dorado,Single Family Residential,517,1359000,El Dorado,38.7787,-120.5247
367,2022,El Dorado,Townhouse,6,965000,El Dorado,38.7787,-120.5247
368,2012,Fresno,All Residential,1762.73,161908.64,Fresno,36.7582,-119.6493
369,2012,Fresno,Condo/Co-op,68.82,69813.64,Fresno,36.7582,-119.6493
370,2012,Fresno,Multi-Family (2-4 Unit),37.82,149922.73,Fresno,36.7582,-119.6493
371,2012,Fresno,Single Family Residential,1656.09,165204.55,Fresno,36.7582,-119.6493
372,2012,Fresno,Townhouse,0,155000,Fresno,36.7582,-119.6493
373,2013,Fresno,All Residential,1497.73,194613.64,Fresno,36.7582,-119.6493
374,2013,Fresno,Condo/Co-op,69.45,100338,Fresno,36.7582,-119.6493
375,2013,Fresno,Multi-Family (2-4 Unit),43,155845.36,Fresno,36.7582,-119.6493
376,2013,Fresno,Single Family Residential,1385.27,199250,Fresno,36.7582,-119.6493
377,2014,Fresno,All Residential,2218.18,219563.64,Fresno,36.7582,-119.6493
378,2014,Fresno,Condo/Co-op,97.82,100136.36,Fresno,36.7582,-119.6493
379,2014,Fresno,Multi-Family (2-4 Unit),72.73,186993.5,Fresno,36.7582,-119.6493
380,2014,Fresno,Single Family Residential,2047.64,224850,Fresno,36.7582,-119.6493
381,2015,Fresno,All Residential,2423.82,239431.82,Fresno,36.7582,-119.6493
382,2015,Fresno,Condo/Co-op,121.73,119781.09,Fresno,36.7582,-119.6493
383,2015,Fresno,Multi-Family (2-4 Unit),80.55,202090.91,Fresno,36.7582,-119.6493
384,2015,Fresno,Single Family Residential,2221.55,244905,Fresno,36.7582,-119.6493
385,2016,Fresno,All Residential,2004.55,250795.45,Fresno,36.7582,-119.6493
386,2016,Fresno,Condo/Co-op,75.36,126268.18,Fresno,36.7582,-119.6493
387,2016,Fresno,Multi-Family (2-4 Unit),64.45,209902.27,Fresno,36.7582,-119.6493
388,2016,Fresno,Single Family Residential,1864.55,256613.64,Fresno,36.7582,-119.6493
389,2016,Fresno,Townhouse,0,150000,Fresno,36.7582,-119.6493
390,2017,Fresno,All Residential,1756.36,269290.45,Fresno,36.7582,-119.6493
391,2017,Fresno,Condo/Co-op,73.18,148363.64,Fresno,36.7582,-119.6493
392,2017,Fresno,Multi-Family (2-4 Unit),65.36,248681.77,Fresno,36.7582,-119.6493
393,2017,Fresno,Single Family Residential,1617.82,274658.27,Fresno,36.7582,-119.6493
394,2018,Fresno,All Residential,1850.09,288290.91,Fresno,36.7582,-119.6493
395,2018,Fresno,Condo/Co-op,72.09,152522.73,Fresno,36.7582,-119.6493
396,2018,Fresno,Multi-Family (2-4 Unit),57.27,279068.18,Fresno,36.7582,-119.6493
397,2018,Fresno,Single Family Residential,1720.73,292585.45,Fresno,36.7582,-119.6493
398,2018,Fresno,Townhouse,0,335000,Fresno,36.7582,-119.6493
399,2019,Fresno,All Residential,1918.18,301616.55,Fresno,36.7582,-119.6493
400,2019,Fresno,Condo/Co-op,88.64,174636.36,Fresno,36.7582,-119.6493
401,2019,Fresno,Multi-Family (2-4 Unit),54.55,302272.73,Fresno,36.7582,-119.6493
402,2019,Fresno,Single Family Residential,1775,306456.41,Fresno,36.7582,-119.6493
403,2020,Fresno,All Residential,1166.27,331659.09,Fresno,36.7582,-119.6493
404,2020,Fresno,Condo/Co-op,62.82,193204.55,Fresno,36.7582,-119.6493
405,2020,Fresno,Multi-Family (2-4 Unit),50.09,334022.73,Fresno,36.7582,-119.6493
406,2020,Fresno,Single Family Residential,1053.36,336314.55,Fresno,36.7582,-119.6493
407,2021,Fresno,All Residential,828.82,390500,Fresno,36.7582,-119.6493
408,2021,Fresno,Condo/Co-op,44.27,209181.82,Fresno,36.7582,-119.6493
409,2021,Fresno,Multi-Family (2-4 Unit),36.27,381727.27,Fresno,36.7582,-119.6493
410,2021,Fresno,Single Family Residential,747.82,398272.73,Fresno,36.7582,-119.6493
411,2021,Fresno,Townhouse,1,717000,Fresno,36.7582,-119.6493
412,2022,Fresno,All Residential,1075,775500,Fresno,36.7582,-119.6493
413,2022,Fresno,Condo/Co-op,67,404500,Fresno,36.7582,-119.6493
414,2022,Fresno,Multi-Family (2-4 Unit),48,632000,Fresno,36.7582,-119.6493
415,2022,Fresno,Single Family Residential,960,792250,Fresno,36.7582,-119.6493
416,2012,Glenn,All Residential,62.45,152940.86,Glenn,39.5982,-122.392
417,2012,Glenn,Multi-Family (2-4 Unit),2,164783.33,Glenn,39.5982,-122.392
418,2012,Glenn,Single Family Residential,60.82,156572.68,Glenn,39.5982,-122.392
419,2013,Glenn,All Residential,49.55,150374.91,Glenn,39.5982,-122.392
420,2013,Glenn,Multi-Family (2-4 Unit),3,208500,Glenn,39.5982,-122.392
421,2013,Glenn,Single Family Residential,48.27,150579.45,Glenn,39.5982,-122.392
422,2014,Glenn,All Residential,61.73,170745.91,Glenn,39.5982,-122.392
423,2014,Glenn,Multi-Family (2-4 Unit),3.75,144025,Glenn,39.5982,-122.392
424,2014,Glenn,Single Family Residential,57.91,169882.27,Glenn,39.5982,-122.392
425,2015,Glenn,All Residential,61.18,210972.73,Glenn,39.5982,-122.392
426,2015,Glenn,Condo/Co-op,0,165000,Glenn,39.5982,-122.392
427,2015,Glenn,Multi-Family (2-4 Unit),7,445000,Glenn,39.5982,-122.392
428,2015,Glenn,Single Family Residential,57.64,210695.45,Glenn,39.5982,-122.392
429,2016,Glenn,All Residential,68.09,221403.32,Glenn,39.5982,-122.392
430,2016,Glenn,Multi-Family (2-4 Unit),2.8,218818.2,Glenn,39.5982,-122.392
431,2016,Glenn,Single Family Residential,65.45,219612.41,Glenn,39.5982,-122.392
432,2017,Glenn,All Residential,75.09,228090.91,Glenn,39.5982,-122.392
433,2017,Glenn,Multi-Family (2-4 Unit),3.5,261750,Glenn,39.5982,-122.392
434,2017,Glenn,Single Family Residential,72,230272.73,Glenn,39.5982,-122.392
435,2017,Glenn,Townhouse,0,55000,Glenn,39.5982,-122.392
436,2018,Glenn,All Residential,72.55,246741.82,Glenn,39.5982,-122.392
437,2018,Glenn,Multi-Family (2-4 Unit),2,493000,Glenn,39.5982,-122.392
438,2018,Glenn,Single Family Residential,69.55,246452.95,Glenn,39.5982,-122.392
439,2018,Glenn,Townhouse,2,300625,Glenn,39.5982,-122.392
440,2019,Glenn,All Residential,82.91,285154.95,Glenn,39.5982,-122.392
441,2019,Glenn,Multi-Family (2-4 Unit),1,377000,Glenn,39.5982,-122.392
442,2019,Glenn,Single Family Residential,80.18,285609.5,Glenn,39.5982,-122.392
443,2019,Glenn,Townhouse,1.5,293500,Glenn,39.5982,-122.392
444,2020,Glenn,All Residential,55.45,324160.59,Glenn,39.5982,-122.392
445,2020,Glenn,Multi-Family (2-4 Unit),3,636000,Glenn,39.5982,-122.392
446,2020,Glenn,Single Family Residential,52.09,323274.23,Glenn,39.5982,-122.392
447,2020,Glenn,Townhouse,3,526500,Glenn,39.5982,-122.392
448,2021,Glenn,All Residential,41,351758.68,Glenn,39.5982,-122.392
449,2021,Glenn,Multi-Family (2-4 Unit),6,752000,Glenn,39.5982,-122.392
450,2021,Glenn,Single Family Residential,38.18,352213.23,Glenn,39.5982,-122.392
451,2021,Glenn,Townhouse,0,270000,Glenn,39.5982,-122.392
452,2022,Glenn,All Residential,84,727500,Glenn,39.5982,-122.392
453,2022,Glenn,Multi-Family (2-4 Unit),3,179000,Glenn,39.5982,-122.392
454,2022,Glenn,Single Family Residential,77,730000,Glenn,39.5982,-122.392
455,2012,Kern,All Residential,1726.64,138590.91,Kern,35.3429,-118.7299
456,2012,Kern,Condo/Co-op,44.36,78472.73,Kern,35.3429,-118.7299
457,2012,Kern,Multi-Family (2-4 Unit),82.36,104727.27,Kern,35.3429,-118.7299
458,2012,Kern,Single Family Residential,1598.45,141622.73,Kern,35.3429,-118.7299
459,2012,Kern,Townhouse,1.29,67757.14,Kern,35.3429,-118.7299
460,2013,Kern,All Residential,1418.82,179854.09,Kern,35.3429,-118.7299
461,2013,Kern,Condo/Co-op,48.64,98750,Kern,35.3429,-118.7299
462,2013,Kern,Multi-Family (2-4 Unit),73.91,137286.36,Kern,35.3429,-118.7299
463,2013,Kern,Single Family Residential,1294.64,184541.36,Kern,35.3429,-118.7299
464,2013,Kern,Townhouse,2,111750,Kern,35.3429,-118.7299
465,2014,Kern,All Residential,1891.45,201409.09,Kern,35.3429,-118.7299
466,2014,Kern,Condo/Co-op,54.36,109136.36,Kern,35.3429,-118.7299
467,2014,Kern,Multi-Family (2-4 Unit),118.82,162977.27,Kern,35.3429,-118.7299
468,2014,Kern,Single Family Residential,1716.82,207136.36,Kern,35.3429,-118.7299
469,2014,Kern,Townhouse,1.25,130750,Kern,35.3429,-118.7299
470,2015,Kern,All Residential,2635.82,216136.36,Kern,35.3429,-118.7299
471,2015,Kern,Condo/Co-op,75.91,115163.64,Kern,35.3429,-118.7299
472,2015,Kern,Multi-Family (2-4 Unit),163.91,166068.18,Kern,35.3429,-118.7299
473,2015,Kern,Single Family Residential,2393.73,221454.55,Kern,35.3429,-118.7299
474,2015,Kern,Townhouse,2.33,150666.67,Kern,35.3429,-118.7299
475,2016,Kern,All Residential,2627.36,226825,Kern,35.3429,-118.7299
476,2016,Kern,Condo/Co-op,82,126404.55,Kern,35.3429,-118.7299
477,2016,Kern,Multi-Family (2-4 Unit),189.91,185072.73,Kern,35.3429,-118.7299
478,2016,Kern,Single Family Residential,2351.91,231090,Kern,35.3429,-118.7299
479,2016,Kern,Townhouse,3.25,156250,Kern,35.3429,-118.7299
480,2017,Kern,All Residential,2295.91,237943.64,Kern,35.3429,-118.7299
481,2017,Kern,Condo/Co-op,71.82,137818.18,Kern,35.3429,-118.7299
482,2017,Kern,Multi-Family (2-4 Unit),163.45,201122.73,Kern,35.3429,-118.7299
483,2017,Kern,Single Family Residential,2054.18,242118.18,Kern,35.3429,-118.7299
484,2017,Kern,Townhouse,7.33,153383.33,Kern,35.3429,-118.7299
485,2018,Kern,All Residential,2334.91,250750,Kern,35.3429,-118.7299
486,2018,Kern,Condo/Co-op,65.27,140159.09,Kern,35.3429,-118.7299
487,2018,Kern,Multi-Family (2-4 Unit),136.55,227909.09,Kern,35.3429,-118.7299
488,2018,Kern,Single Family Residential,2127.45,254831.73,Kern,35.3429,-118.7299
489,2018,Kern,Townhouse,5.75,187193.75,Kern,35.3429,-118.7299
490,2019,Kern,All Residential,2144.45,264799.95,Kern,35.3429,-118.7299
491,2019,Kern,Condo/Co-op,49.64,143568.18,Kern,35.3429,-118.7299
492,2019,Kern,Multi-Family (2-4 Unit),129.64,244790.91,Kern,35.3429,-118.7299
493,2019,Kern,Single Family Residential,1961.55,269202.05,Kern,35.3429,-118.7299
494,2019,Kern,Townhouse,3.67,181166.67,Kern,35.3429,-118.7299
495,2020,Kern,All Residential,1618.36,290270.45,Kern,35.3429,-118.7299
496,2020,Kern,Condo/Co-op,48.55,154340.91,Kern,35.3429,-118.7299
497,2020,Kern,Multi-Family (2-4 Unit),126.64,252636.36,Kern,35.3429,-118.7299
498,2020,Kern,Single Family Residential,1441.27,294362.73,Kern,35.3429,-118.7299
499,2020,Kern,Townhouse,2.33,287000,Kern,35.3429,-118.7299
500,2021,Kern,All Residential,1239,340312.73,Kern,35.3429,-118.7299
501,2021,Kern,Condo/Co-op,39.82,187340.91,Kern,35.3429,-118.7299
502,2021,Kern,Multi-Family (2-4 Unit),102.55,311840.91,Kern,35.3429,-118.7299
503,2021,Kern,Single Family Residential,1094.27,347130.91,Kern,35.3429,-118.7299
504,2021,Kern,Townhouse,2.17,249333.33,Kern,35.3429,-118.7299
505,2022,Kern,All Residential,1727,680000,Kern,35.3429,-118.7299
506,2022,Kern,Condo/Co-op,39,380000,Kern,35.3429,-118.7299
507,2022,Kern,Multi-Family (2-4 Unit),130,553500,Kern,35.3429,-118.7299
508,2022,Kern,Single Family Residential,1558,697400,Kern,35.3429,-118.7299
509,2012,Lake,All Residential,406.91,130318.14,Lake,39.0996,-122.7532
510,2012,Lake,Condo/Co-op,1,158750,Lake,39.0996,-122.7532
511,2012,Lake,Multi-Family (2-4 Unit),19.25,151034.5,Lake,39.0996,-122.7532
512,2012,Lake,Single Family Residential,387.45,131359.05,Lake,39.0996,-122.7532
513,2012,Lake,Townhouse,2.5,139875,Lake,39.0996,-122.7532
514,2013,Lake,All Residential,346.55,155227.27,Lake,39.0996,-122.7532
515,2013,Lake,Condo/Co-op,1.83,113691.58,Lake,39.0996,-122.7532
516,2013,Lake,Multi-Family (2-4 Unit),19.25,173224.88,Lake,39.0996,-122.7532
517,2013,Lake,Single Family Residential,324.64,156318.18,Lake,39.0996,-122.7532
518,2013,Lake,Townhouse,4,230000,Lake,39.0996,-122.7532
519,2014,Lake,All Residential,365.45,176086.36,Lake,39.0996,-122.7532
520,2014,Lake,Condo/Co-op,2.67,177166.67,Lake,39.0996,-122.7532
521,2014,Lake,Multi-Family (2-4 Unit),13,161929.17,Lake,39.0996,-122.7532
522,2014,Lake,Single Family Residential,349.36,177490.91,Lake,39.0996,-122.7532
523,2014,Lake,Townhouse,1,235000,Lake,39.0996,-122.7532
524,2015,Lake,All Residential,463.18,220800,Lake,39.0996,-122.7532
525,2015,Lake,Condo/Co-op,2.86,146642.86,Lake,39.0996,-122.7532
526,2015,Lake,Multi-Family (2-4 Unit),16.5,538375,Lake,39.0996,-122.7532
527,2015,Lake,Single Family Residential,442.82,223327.27,Lake,39.0996,-122.7532
528,2015,Lake,Townhouse,2,170000,Lake,39.0996,-122.7532
529,2016,Lake,All Residential,460.45,251204.55,Lake,39.0996,-122.7532
530,2016,Lake,Condo/Co-op,0,550000,Lake,39.0996,-122.7532
531,2016,Lake,Multi-Family (2-4 Unit),16.22,290416.67,Lake,39.0996,-122.7532
532,2016,Lake,Single Family Residential,441.64,251454.55,Lake,39.0996,-122.7532
533,2016,Lake,Townhouse,2,394500,Lake,39.0996,-122.7532
534,2017,Lake,All Residential,467.36,260227.27,Lake,39.0996,-122.7532
535,2017,Lake,Condo/Co-op,2,308750,Lake,39.0996,-122.7532
536,2017,Lake,Multi-Family (2-4 Unit),15.71,326178.57,Lake,39.0996,-122.7532
537,2017,Lake,Single Family Residential,446.09,259918.18,Lake,39.0996,-122.7532
538,2017,Lake,Townhouse,8,262000,Lake,39.0996,-122.7532
539,2018,Lake,All Residential,517.27,280254.55,Lake,39.0996,-122.7532
540,2018,Lake,Condo/Co-op,0,249000,Lake,39.0996,-122.7532
541,2018,Lake,Multi-Family (2-4 Unit),12.25,287656.25,Lake,39.0996,-122.7532
542,2018,Lake,Single Family Residential,500.18,281045.45,Lake,39.0996,-122.7532
543,2018,Lake,Townhouse,3,250887,Lake,39.0996,-122.7532
544,2019,Lake,All Residential,536,280590.91,Lake,39.0996,-122.7532
545,2019,Lake,Condo/Co-op,6.5,237187.5,Lake,39.0996,-122.7532
546,2019,Lake,Multi-Family (2-4 Unit),8.71,388928.57,Lake,39.0996,-122.7532
547,2019,Lake,Single Family Residential,517.64,282500,Lake,39.0996,-122.7532
548,2019,Lake,Townhouse,4.33,252916.67,Lake,39.0996,-122.7532
549,2020,Lake,All Residential,397.36,316250,Lake,39.0996,-122.7532
550,2020,Lake,Condo/Co-op,5,175000,Lake,39.0996,-122.7532
551,2020,Lake,Multi-Family (2-4 Unit),10.75,333843.75,Lake,39.0996,-122.7532
552,2020,Lake,Single Family Residential,378.64,316181.82,Lake,39.0996,-122.7532
553,2020,Lake,Townhouse,4.2,313100,Lake,39.0996,-122.7532
554,2021,Lake,All Residential,359.55,359113.64,Lake,39.0996,-122.7532
555,2021,Lake,Condo/Co-op,3.5,349750,Lake,39.0996,-122.7532
556,2021,Lake,Multi-Family (2-4 Unit),9.89,388327.78,Lake,39.0996,-122.7532
557,2021,Lake,Single Family Residential,344.27,362000,Lake,39.0996,-122.7532
558,2021,Lake,Townhouse,4,299541.67,Lake,39.0996,-122.7532
559,2022,Lake,All Residential,587,690000,Lake,39.0996,-122.7532
560,2022,Lake,Condo/Co-op,2,155000,Lake,39.0996,-122.7532
561,2022,Lake,Multi-Family (2-4 Unit),25,690000,Lake,39.0996,-122.7532
562,2022,Lake,Single Family Residential,557,704400,Lake,39.0996,-122.7532
563,2022,Lake,Townhouse,1,827000,Lake,39.0996,-122.7532
564,2012,Los Angeles,All Residential,19561.82,357545.45,Los Angeles,34.3207,-118.2248
565,2012,Los Angeles,Condo/Co-op,3169.91,276636.36,Los Angeles,34.3207,-118.2248
566,2012,Los Angeles,Multi-Family (2-4 Unit),1773.55,372181.82,Los Angeles,34.3207,-118.2248
567,2012,Los Angeles,Single Family Residential,13786,373181.82,Los Angeles,34.3207,-118.2248
568,2012,Los Angeles,Townhouse,832.36,366250,Los Angeles,34.3207,-118.2248
569,2013,Los Angeles,All Residential,12915.36,450293.41,Los Angeles,34.3207,-118.2248
570,2013,Los Angeles,Condo/Co-op,2045.45,356727.27,Los Angeles,34.3207,-118.2248
571,2013,Los Angeles,Multi-Family (2-4 Unit),1342.36,458727.27,Los Angeles,34.3207,-118.2248
572,2013,Los Angeles,Single Family Residential,8966,472500,Los Angeles,34.3207,-118.2248
573,2013,Los Angeles,Townhouse,561.55,435454.55,Los Angeles,34.3207,-118.2248
574,2014,Los Angeles,All Residential,16625,503090.91,Los Angeles,34.3207,-118.2248
575,2014,Los Angeles,Condo/Co-op,2714.36,405413.64,Los Angeles,34.3207,-118.2248
576,2014,Los Angeles,Multi-Family (2-4 Unit),1626.64,540681.82,Los Angeles,34.3207,-118.2248
577,2014,Los Angeles,Single Family Residential,11413.55,528136.36,Los Angeles,34.3207,-118.2248
578,2014,Los Angeles,Townhouse,870.45,461068.18,Los Angeles,34.3207,-118.2248
579,2015,Los Angeles,All Residential,17423.64,539227.27,Los Angeles,34.3207,-118.2248
580,2015,Los Angeles,Condo/Co-op,2647.64,433204.55,Los Angeles,34.3207,-118.2248
581,2015,Los Angeles,Multi-Family (2-4 Unit),1985.09,601000,Los Angeles,34.3207,-118.2248
582,2015,Los Angeles,Single Family Residential,11887.91,565363.64,Los Angeles,34.3207,-118.2248
583,2015,Los Angeles,Townhouse,903,488908.18,Los Angeles,34.3207,-118.2248
584,2016,Los Angeles,All Residential,18605.27,578772.73,Los Angeles,34.3207,-118.2248
585,2016,Los Angeles,Condo/Co-op,2744.36,455713.18,Los Angeles,34.3207,-118.2248
586,2016,Los Angeles,Multi-Family (2-4 Unit),1951.45,666568.18,Los Angeles,34.3207,-118.2248
587,2016,Los Angeles,Single Family Residential,12877.82,608636.36,Los Angeles,34.3207,-118.2248
588,2016,Los Angeles,Townhouse,1031.64,508545.45,Los Angeles,34.3207,-118.2248
589,2017,Los Angeles,All Residential,17625.36,624681.77,Los Angeles,34.3207,-118.2248
590,2017,Los Angeles,Condo/Co-op,2446.64,485318.18,Los Angeles,34.3207,-118.2248
591,2017,Los Angeles,Multi-Family (2-4 Unit),1767.09,738750,Los Angeles,34.3207,-118.2248
592,2017,Los Angeles,Single Family Residential,12423.64,655340.91,Los Angeles,34.3207,-118.2248
593,2017,Los Angeles,Townhouse,988,560672.73,Los Angeles,34.3207,-118.2248
594,2018,Los Angeles,All Residential,18796.55,668068.18,Los Angeles,34.3207,-118.2248
595,2018,Los Angeles,Condo/Co-op,2624.91,524750,Los Angeles,34.3207,-118.2248
596,2018,Los Angeles,Multi-Family (2-4 Unit),1865.27,805272.73,Los Angeles,34.3207,-118.2248
597,2018,Los Angeles,Single Family Residential,13250.82,695477.27,Los Angeles,34.3207,-118.2248
598,2018,Los Angeles,Townhouse,1055.55,598454.55,Los Angeles,34.3207,-118.2248
599,2019,Los Angeles,All Residential,19975.09,687090,Los Angeles,34.3207,-118.2248
600,2019,Los Angeles,Condo/Co-op,3230.45,528204.55,Los Angeles,34.3207,-118.2248
601,2019,Los Angeles,Multi-Family (2-4 Unit),1867.27,841795.45,Los Angeles,34.3207,-118.2248
602,2019,Los Angeles,Single Family Residential,13674.64,716477.27,Los Angeles,34.3207,-118.2248
603,2019,Los Angeles,Townhouse,1202.73,610404,Los Angeles,34.3207,-118.2248
604,2020,Los Angeles,All Residential,16430.91,744863.64,Los Angeles,34.3207,-118.2248
605,2020,Los Angeles,Condo/Co-op,3294.73,552704.55,Los Angeles,34.3207,-118.2248
606,2020,Los Angeles,Multi-Family (2-4 Unit),1743.73,896136.36,Los Angeles,34.3207,-118.2248
607,2020,Los Angeles,Single Family Residential,10342.18,795454.55,Los Angeles,34.3207,-118.2248
608,2020,Los Angeles,Townhouse,1050.27,626972,Los Angeles,34.3207,-118.2248
609,2021,Los Angeles,All Residential,13836.82,873045.45,Los Angeles,34.3207,-118.2248
610,2021,Los Angeles,Condo/Co-op,2898.18,627818.18,Los Angeles,34.3207,-118.2248
611,2021,Los Angeles,Multi-Family (2-4 Unit),1729.18,1045590.91,Los Angeles,34.3207,-118.2248
612,2021,Los Angeles,Single Family Residential,8381.09,942840.91,Los Angeles,34.3207,-118.2248
613,2021,Los Angeles,Townhouse,828.36,750318.18,Los Angeles,34.3207,-118.2248
614,2022,Los Angeles,All Residential,16219,1660000,Los Angeles,34.3207,-118.2248
615,2022,Los Angeles,Condo/Co-op,3177,1224000,Los Angeles,34.3207,-118.2248
616,2022,Los Angeles,Multi-Family (2-4 Unit),2230,1932500,Los Angeles,34.3207,-118.2248
617,2022,Los Angeles,Single Family Residential,9902,1774000,Los Angeles,34.3207,-118.2248
618,2022,Los Angeles,Townhouse,910,1422000,Los Angeles,34.3207,-118.2248
619,2012,Madera,All Residential,418,148054.32,Madera,37.218,-119.7627
620,2012,Madera,Condo/Co-op,4.6,113580,Madera,37.218,-119.7627
621,2012,Madera,Multi-Family (2-4 Unit),6,101114.29,Madera,37.218,-119.7627
622,2012,Madera,Single Family Residential,407.73,148922.73,Madera,37.218,-119.7627
623,2013,Madera,All Residential,388,177077.27,Madera,37.218,-119.7627
624,2013,Madera,Condo/Co-op,2.5,98906.25,Madera,37.218,-119.7627
625,2013,Madera,Multi-Family (2-4 Unit),4.14,164414.29,Madera,37.218,-119.7627
626,2013,Madera,Single Family Residential,381.55,177850,Madera,37.218,-119.7627
627,2014,Madera,All Residential,551,209786.36,Madera,37.218,-119.7627
628,2014,Madera,Condo/Co-op,3.71,123285.71,Madera,37.218,-119.7627
629,2014,Madera,Multi-Family (2-4 Unit),11.78,159955.5,Madera,37.218,-119.7627
630,2014,Madera,Single Family Residential,534.91,211600,Madera,37.218,-119.7627
631,2014,Madera,Townhouse,1,225000,Madera,37.218,-119.7627
632,2015,Madera,All Residential,663,223954.55,Madera,37.218,-119.7627
633,2015,Madera,Condo/Co-op,4.71,129535.71,Madera,37.218,-119.7627
634,2015,Madera,Multi-Family (2-4 Unit),10.71,281214.29,Madera,37.218,-119.7627
635,2015,Madera,Single Family Residential,648.09,224165.91,Madera,37.218,-119.7627
636,2015,Madera,Townhouse,0,259000,Madera,37.218,-119.7627
637,2016,Madera,All Residential,522.45,239250.91,Madera,37.218,-119.7627
638,2016,Madera,Condo/Co-op,2.67,187533.33,Madera,37.218,-119.7627
639,2016,Madera,Multi-Family (2-4 Unit),5.4,205700,Madera,37.218,-119.7627
640,2016,Madera,Single Family Residential,513.64,239890.91,Madera,37.218,-119.7627
641,2016,Madera,Townhouse,0,378000,Madera,37.218,-119.7627
642,2017,Madera,All Residential,498.36,264510,Madera,37.218,-119.7627
643,2017,Madera,Condo/Co-op,2.57,163107.14,Madera,37.218,-119.7627
644,2017,Madera,Multi-Family (2-4 Unit),9.62,265843.75,Madera,37.218,-119.7627
645,2017,Madera,Single Family Residential,486.55,265336.36,Madera,37.218,-119.7627
646,2017,Madera,Townhouse,1,247964,Madera,37.218,-119.7627
647,2018,Madera,All Residential,567.73,285040.91,Madera,37.218,-119.7627
648,2018,Madera,Condo/Co-op,1.83,150250,Madera,37.218,-119.7627
649,2018,Madera,Multi-Family (2-4 Unit),6.11,246555.56,Madera,37.218,-119.7627
650,2018,Madera,Single Family Residential,558.27,286452.27,Madera,37.218,-119.7627
651,2019,Madera,All Residential,561.45,303586.36,Madera,37.218,-119.7627
