,Year,County,Property_type,mean_inventory,Median_sales_price
481,2017,Kern County,Condo/Co-op,71.82,137818.18
482,2017,Kern County,Multi-Family (2-4 Unit),163.45,201122.73
483,2017,Kern County,Single Family Residential,2054.18,242118.18
484,2017,Kern County,Townhouse,7.33,153383.33
485,2018,Kern County,All Residential,2334.91,250750.0
486,2018,Kern County,Condo/Co-op,65.27,140159.09
487,2018,Kern County,Multi-Family (2-4 Unit),136.55,227909.09
488,2018,Kern County,Single Family Residential,2127.45,254831.73
489,2018,Kern County,Townhouse,5.75,187193.75
490,2019,Kern County,All Residential,2144.45,264799.95
491,2019,Kern County,Condo/Co-op,49.64,143568.18
492,2019,Kern County,Multi-Family (2-4 Unit),129.64,244790.91
493,2019,Kern County,Single Family Residential,1961.55,269202.05
494,2019,Kern County,Townhouse,3.67,181166.67
495,2020,Kern County,All Residential,1618.36,290270.45
496,2020,Kern County,Condo/Co-op,48.55,154340.91
497,2020,Kern County,Multi-Family (2-4 Unit),126.64,252636.36
498,2020,Kern County,Single Family Residential,1441.27,294362.73
499,2020,Kern County,Townhouse,2.33,287000.0
500,2021,Kern County,All Residential,1239.0,340312.73
501,2021,Kern County,Condo/Co-op,39.82,187340.91
502,2021,Kern County,Multi-Family (2-4 Unit),102.55,311840.91
503,2021,Kern County,Single Family Residential,1094.27,347130.91
504,2021,Kern County,Townhouse,2.17,249333.33
505,2022,Kern County,All Residential,1727.0,680000.0
506,2022,Kern County,Condo/Co-op,39.0,380000.0
507,2022,Kern County,Multi-Family (2-4 Unit),130.0,553500.0
508,2022,Kern County,Single Family Residential,1558.0,697400.0
509,2012,Lake County,All Residential,406.91,130318.14
510,2012,Lake County,Condo/Co-op,1.0,158750.0
511,2012,Lake County,Multi-Family (2-4 Unit),19.25,151034.5
512,2012,Lake County,Single Family Residential,387.45,131359.05
513,2012,Lake County,Townhouse,2.5,139875.0
514,2013,Lake County,All Residential,346.55,155227.27
515,2013,Lake County,Condo/Co-op,1.83,113691.58
516,2013,Lake County,Multi-Family (2-4 Unit),19.25,173224.88
517,2013,Lake County,Single Family Residential,324.64,156318.18
518,2013,Lake County,Townhouse,4.0,230000.0
519,2014,Lake County,All Residential,365.45,176086.36
520,2014,Lake County,Condo/Co-op,2.67,177166.67
521,2014,Lake County,Multi-Family (2-4 Unit),13.0,161929.17
522,2014,Lake County,Single Family Residential,349.36,177490.91
523,2014,Lake County,Townhouse,1.0,235000.0
524,2015,Lake County,All Residential,463.18,220800.0
525,2015,Lake County,Condo/Co-op,2.86,146642.86
526,2015,Lake County,Multi-Family (2-4 Unit),16.5,538375.0
527,2015,Lake County,Single Family Residential,442.82,223327.27
528,2015,Lake County,Townhouse,2.0,170000.0
529,2016,Lake County,All Residential,460.45,251204.55
530,2016,Lake County,Condo/Co-op,0.0,550000.0
531,2016,Lake County,Multi-Family (2-4 Unit),16.22,290416.67
532,2016,Lake County,Single Family Residential,441.64,251454.55
533,2016,Lake County,Townhouse,2.0,394500.0
534,2017,Lake County,All Residential,467.36,260227.27
535,2017,Lake County,Condo/Co-op,2.0,308750.0
536,2017,Lake County,Multi-Family (2-4 Unit),15.71,326178.57
537,2017,Lake County,Single Family Residential,446.09,259918.18
538,2017,Lake County,Townhouse,8.0,262000.0
539,2018,Lake County,All Residential,517.27,280254.55
540,2018,Lake County,Condo/Co-op,0.0,249000.0
541,2018,Lake County,Multi-Family (2-4 Unit),12.25,287656.25
542,2018,Lake County,Single Family Residential,500.18,281045.45
543,2018,Lake County,Townhouse,3.0,250887.0
544,2019,Lake County,All Residential,536.0,280590.91
545,2019,Lake County,Condo/Co-op,6.5,237187.5
546,2019,Lake County,Multi-Family (2-4 Unit),8.71,388928.57
547,2019,Lake County,Single Family Residential,517.64,282500.0
548,2019,Lake County,Townhouse,4.33,252916.67
549,2020,Lake County,All Residential,397.36,316250.0
550,2020,Lake County,Condo/Co-op,5.0,175000.0
551,2020,Lake County,Multi-Family (2-4 Unit),10.75,333843.75
552,2020,Lake County,Single Family Residential,378.64,316181.82
553,2020,Lake County,Townhouse,4.2,313100.0
554,2021,Lake County,All Residential,359.55,359113.64
555,2021,Lake County,Condo/Co-op,3.5,349750.0
556,2021,Lake County,Multi-Family (2-4 Unit),9.89,388327.78
557,2021,Lake County,Single Family Residential,344.27,362000.0
558,2021,Lake County,Townhouse,4.0,299541.67
559,2022,Lake County,All Residential,587.0,690000.0
560,2022,Lake County,Condo/Co-op,2.0,155000.0
561,2022,Lake County,Multi-Family (2-4 Unit),25.0,690000.0
562,2022,Lake County,Single Family Residential,557.0,704400.0
563,2022,Lake County,Townhouse,1.0,827000.0
564,2012,Los Angeles County,All Residential,19561.82,357545.45
565,2012,Los Angeles County,Condo/Co-op,3169.91,276636.36
566,2012,Los Angeles County,Multi-Family (2-4 Unit),1773.55,372181.82
567,2012,Los Angeles County,Single Family Residential,13786.0,373181.82
568,2012,Los Angeles County,Townhouse,832.36,366250.0
569,2013,Los Angeles County,All Residential,12915.36,450293.41
570,2013,Los Angeles County,Condo/Co-op,2045.45,356727.27
571,2013,Los Angeles County,Multi-Family (2-4 Unit),1342.36,458727.27
572,2013,Los Angeles County,Single Family Residential,8966.0,472500.0
573,2013,Los Angeles County,Townhouse,561.55,435454.55
574,2014,Los Angeles County,All Residential,16625.0,503090.91
575,2014,Los Angeles County,Condo/Co-op,2714.36,405413.64
576,2014,Los Angeles County,Multi-Family (2-4 Unit),1626.64,540681.82
577,2014,Los Angeles County,Single Family Residential,11413.55,528136.36
578,2014,Los Angeles County,Townhouse,870.45,461068.18
579,2015,Los Angeles County,All Residential,17423.64,539227.27
580,2015,Los Angeles County,Condo/Co-op,2647.64,433204.55
581,2015,Los Angeles County,Multi-Family (2-4 Unit),1985.09,601000.0
582,2015,Los Angeles County,Single Family Residential,11887.91,565363.64
583,2015,Los Angeles County,Townhouse,903.0,488908.18
584,2016,Los Angeles County,All Residential,18605.27,578772.73
585,2016,Los Angeles County,Condo/Co-op,2744.36,455713.18
586,2016,Los Angeles County,Multi-Family (2-4 Unit),1951.45,666568.18
587,2016,Los Angeles County,Single Family Residential,12877.82,608636.36
588,2016,Los Angeles County,Townhouse,1031.64,508545.45
589,2017,Los Angeles County,All Residential,17625.36,624681.77
590,2017,Los Angeles County,Condo/Co-op,2446.64,485318.18
591,2017,Los Angeles County,Multi-Family (2-4 Unit),1767.09,738750.0
592,2017,Los Angeles County,Single Family Residential,12423.64,655340.91
593,2017,Los Angeles County,Townhouse,988.0,560672.73
594,2018,Los Angeles County,All Residential,18796.55,668068.18
595,2018,Los Angeles County,Condo/Co-op,2624.91,524750.0
596,2018,Los Angeles County,Multi-Family (2-4 Unit),1865.27,805272.73
597,2018,Los Angeles County,Single Family Residential,13250.82,695477.27
598,2018,Los Angeles County,Townhouse,1055.55,598454.55
599,2019,Los Angeles County,All Residential,19975.09,687090.0
600,2019,Los Angeles County,Condo/Co-op,3230.45,528204.55
601,2019,Los Angeles County,Multi-Family (2-4 Unit),1867.27,841795.45
602,2019,Los Angeles County,Single Family Residential,13674.64,716477.27
603,2019,Los Angeles County,Townhouse,1202.73,610404.0
604,2020,Los Angeles County,All Residential,16430.91,744863.64
605,2020,Los Angeles County,Condo/Co-op,3294.73,552704.55
606,2020,Los Angeles County,Multi-Family (2-4 Unit),1743.73,896136.36
607,2020,Los Angeles County,Single Family Residential,10342.18,795454.55
608,2020,Los Angeles County,Townhouse,1050.27,626972.0
609,2021,Los Angeles County,All Residential,13836.82,873045.45
610,2021,Los Angeles County,Condo/Co-op,2898.18,627818.18
611,2021,Los Angeles County,Multi-Family (2-4 Unit),1729.18,1045590.91
612,2021,Los Angeles County,Single Family Residential,8381.09,942840.91
613,2021,Los Angeles County,Townhouse,828.36,750318.18
614,2022,Los Angeles County,All Residential,16219.0,1660000.0
615,2022,Los Angeles County,Condo/Co-op,3177.0,1224000.0
616,2022,Los Angeles County,Multi-Family (2-4 Unit),2230.0,1932500.0
617,2022,Los Angeles County,Single Family Residential,9902.0,1774000.0
618,2022,Los Angeles County,Townhouse,910.0,1422000.0
619,2012,Madera County,All Residential,418.0,148054.32
620,2012,Madera County,Condo/Co-op,4.6,113580.0
621,2012,Madera County,Multi-Family (2-4 Unit),6.0,101114.29
622,2012,Madera County,Single Family Residential,407.73,148922.73
623,2013,Madera County,All Residential,388.0,177077.27
624,2013,Madera County,Condo/Co-op,2.5,98906.25
625,2013,Madera County,Multi-Family (2-4 Unit),4.14,164414.29
626,2013,Madera County,Single Family Residential,381.55,177850.0
627,2014,Madera County,All Residential,551.0,209786.36
628,2014,Madera County,Condo/Co-op,3.71,123285.71
629,2014,Madera County,Multi-Family (2-4 Unit),11.78,159955.5
630,2014,Madera County,Single Family Residential,534.91,211600.0
631,2014,Madera County,Townhouse,1.0,225000.0
632,2015,Madera County,All Residential,663.0,223954.55
633,2015,Madera County,Condo/Co-op,4.71,129535.71
634,2015,Madera County,Multi-Family (2-4 Unit),10.71,281214.29
635,2015,Madera County,Single Family Residential,648.09,224165.91
636,2015,Madera County,Townhouse,0.0,259000.0
637,2016,Madera County,All Residential,522.45,239250.91
638,2016,Madera County,Condo/Co-op,2.67,187533.33
639,2016,Madera County,Multi-Family (2-4 Unit),5.4,205700.0
640,2016,Madera County,Single Family Residential,513.64,239890.91
641,2016,Madera County,Townhouse,0.0,378000.0
642,2017,Madera County,All Residential,498.36,264510.0
643,2017,Madera County,Condo/Co-op,2.57,163107.14
644,2017,Madera County,Multi-Family (2-4 Unit),9.62,265843.75
645,2017,Madera County,Single Family Residential,486.55,265336.36
646,2017,Madera County,Townhouse,1.0,247964.0
647,2018,Madera County,All Residential,567.73,285040.91
648,2018,Madera County,Condo/Co-op,1.83,150250.0
649,2018,Madera County,Multi-Family (2-4 Unit),6.11,246555.56
650,2018,Madera County,Single Family Residential,558.27,286452.27
651,2019,Madera County,All Residential,561.45,303586.36
652,2019,Madera County,Condo/Co-op,0.75,182875.0
653,2019,Madera County,Multi-Family (2-4 Unit),8.29,404571.43
654,2019,Madera County,Single Family Residential,549.55,304134.09
655,2020,Madera County,All Residential,388.55,341059.09
656,2020,Madera County,Condo/Co-op,5.0,243250.0
657,2020,Madera County,Multi-Family (2-4 Unit),2.62,283062.5
658,2020,Madera County,Single Family Residential,383.0,342886.36
659,2020,Madera County,Townhouse,0.0,169500.0
660,2021,Madera County,All Residential,267.09,403415.91
661,2021,Madera County,Condo/Co-op,1.29,216285.71
662,2021,Madera County,Multi-Family (2-4 Unit),2.89,398911.11
663,2021,Madera County,Single Family Residential,263.09,406056.82
664,2022,Madera County,All Residential,418.0,777750.0
665,2022,Madera County,Condo/Co-op,3.0,424750.0
666,2022,Madera County,Multi-Family (2-4 Unit),8.0,281500.0
667,2022,Madera County,Single Family Residential,401.0,784500.0
668,2012,Marin County,All Residential,659.09,727113.64
669,2012,Marin County,Condo/Co-op,112.36,355868.18
670,2012,Marin County,Multi-Family (2-4 Unit),65.09,999404.0
671,2012,Marin County,Single Family Residential,481.64,814904.86
672,2012,Marin County,Townhouse,0.0,997500.0
673,2013,Marin County,All Residential,509.27,865045.45
674,2013,Marin County,Condo/Co-op,81.27,458196.27
675,2013,Marin County,Multi-Family (2-4 Unit),58.27,1108936.36
676,2013,Marin County,Single Family Residential,369.73,968818.18
677,2014,Marin County,All Residential,474.18,957293.64
678,2014,Marin County,Condo/Co-op,88.73,535409.09
679,2014,Marin County,Multi-Family (2-4 Unit),50.73,1445204.55
680,2014,Marin County,Single Family Residential,334.73,1075491.73
681,2015,Marin County,All Residential,525.27,1006931.82
682,2015,Marin County,Condo/Co-op,112.64,608259.09
683,2015,Marin County,Multi-Family (2-4 Unit),49.91,1397176.68
684,2015,Marin County,Single Family Residential,362.73,1174459.09
685,2016,Marin County,All Residential,573.55,1079544.36
686,2016,Marin County,Condo/Co-op,122.09,628054.55
687,2016,Marin County,Multi-Family (2-4 Unit),41.91,1432931.82
688,2016,Marin County,Single Family Residential,409.27,1250045.45
689,2016,Marin County,Townhouse,0.0,1255000.0
690,2017,Marin County,All Residential,520.73,1168454.55
691,2017,Marin County,Condo/Co-op,91.55,649490.91
692,2017,Marin County,Multi-Family (2-4 Unit),48.55,1735477.27
693,2017,Marin County,Single Family Residential,380.55,1340045.45
694,2017,Marin County,Townhouse,0.0,515150.0
695,2018,Marin County,All Residential,537.36,1268100.0
696,2018,Marin County,Condo/Co-op,99.55,711568.18
697,2018,Marin County,Multi-Family (2-4 Unit),55.27,1776163.64
698,2018,Marin County,Single Family Residential,382.36,1430454.55
699,2018,Marin County,Townhouse,0.0,1050000.0
700,2019,Marin County,All Residential,627.91,1257045.45
701,2019,Marin County,Condo/Co-op,128.73,700704.55
702,2019,Marin County,Multi-Family (2-4 Unit),55.0,1919318.18
703,2019,Marin County,Single Family Residential,443.64,1394386.36
704,2020,Marin County,All Residential,525.64,1379886.36
705,2020,Marin County,Condo/Co-op,130.82,749818.18
706,2020,Marin County,Multi-Family (2-4 Unit),51.27,1752227.27
707,2020,Marin County,Single Family Residential,342.55,1526704.55
708,2020,Marin County,Townhouse,0.0,2450000.0
709,2021,Marin County,All Residential,408.27,1531727.27
710,2021,Marin County,Condo/Co-op,103.18,753545.45
711,2021,Marin County,Multi-Family (2-4 Unit),28.36,1619276.82
712,2021,Marin County,Single Family Residential,260.45,1780500.0
713,2021,Marin County,Townhouse,17.4,896475.6
714,2022,Marin County,All Residential,390.0,2750000.0
715,2022,Marin County,Condo/Co-op,136.0,1453830.0
716,2022,Marin County,Multi-Family (2-4 Unit),21.0,2966350.0
717,2022,Marin County,Single Family Residential,211.0,3251000.0
718,2022,Marin County,Townhouse,22.0,1695000.0
719,2013,Mariposa County,All Residential,0.0,155000.0
720,2013,Mariposa County,Single Family Residential,0.0,155000.0
721,2015,Mariposa County,All Residential,4.0,625000.0
722,2015,Mariposa County,Single Family Residential,4.0,625000.0
723,2016,Mariposa County,All Residential,1.0,845000.0
724,2016,Mariposa County,Single Family Residential,1.0,845000.0
725,2018,Mariposa County,All Residential,2.0,630000.0
726,2018,Mariposa County,Multi-Family (2-4 Unit),0.0,330000.0
727,2018,Mariposa County,Single Family Residential,0.0,300000.0
728,2019,Mariposa County,All Residential,4.5,692000.0
729,2019,Mariposa County,Single Family Residential,4.5,692000.0
730,2020,Mariposa County,All Residential,15.67,608833.33
731,2020,Mariposa County,Single Family Residential,15.67,608833.33
732,2021,Mariposa County,All Residential,77.78,470416.67
733,2021,Mariposa County,Condo/Co-op,0.67,408666.67
734,2021,Mariposa County,Multi-Family (2-4 Unit),4.0,777250.0
735,2021,Mariposa County,Single Family Residential,73.11,473750.0
736,2021,Mariposa County,Townhouse,2.0,460000.0
737,2022,Mariposa County,All Residential,130.0,809000.0
738,2022,Mariposa County,Multi-Family (2-4 Unit),3.0,350000.0
739,2022,Mariposa County,Single Family Residential,124.0,812750.0
740,2012,Merced County,All Residential,558.27,131650.0
741,2012,Merced County,Condo/Co-op,5.67,67210.83
742,2012,Merced County,Multi-Family (2-4 Unit),20.45,119082.73
743,2012,Merced County,Single Family Residential,532.36,132522.73
744,2012,Merced County,Townhouse,0.0,106500.0
745,2013,Merced County,All Residential,356.36,167636.36
746,2013,Merced County,Condo/Co-op,3.86,104551.43
747,2013,Merced County,Multi-Family (2-4 Unit),18.27,142477.27
748,2013,Merced County,Single Family Residential,334.45,168568.18
749,2014,Merced County,All Residential,602.27,195309.09
750,2014,Merced County,Condo/Co-op,6.11,112750.0
751,2014,Merced County,Multi-Family (2-4 Unit),46.82,170318.18
752,2014,Merced County,Single Family Residential,548.36,197204.55
753,2014,Merced County,Townhouse,2.0,304000.0
754,2015,Merced County,All Residential,627.27,224136.36
755,2015,Merced County,Condo/Co-op,4.8,117630.0
756,2015,Merced County,Multi-Family (2-4 Unit),29.18,179886.36
757,2015,Merced County,Single Family Residential,592.55,227336.36
758,2015,Merced County,Townhouse,0.5,126250.0
759,2016,Merced County,All Residential,593.27,246781.82
760,2016,Merced County,Condo/Co-op,3.33,175323.22
761,2016,Merced County,Multi-Family (2-4 Unit),29.5,201875.0
762,2016,Merced County,Single Family Residential,560.0,248015.36
763,2016,Merced County,Townhouse,0.0,120000.0
764,2017,Merced County,All Residential,581.45,270234.73
765,2017,Merced County,Condo/Co-op,7.62,188937.5
766,2017,Merced County,Multi-Family (2-4 Unit),28.45,216318.18
767,2017,Merced County,Single Family Residential,543.82,272584.45
768,2017,Merced County,Townhouse,2.0,199500.0
769,2018,Merced County,All Residential,670.73,298685.73
770,2018,Merced County,Condo/Co-op,10.1,168625.0
771,2018,Merced County,Multi-Family (2-4 Unit),27.55,289977.27
772,2018,Merced County,Single Family Residential,630.0,300472.41
773,2018,Merced County,Townhouse,4.17,265125.0
774,2019,Merced County,All Residential,724.27,308688.64
775,2019,Merced County,Condo/Co-op,10.0,168454.55
776,2019,Merced County,Multi-Family (2-4 Unit),15.36,312568.18
777,2019,Merced County,Single Family Residential,696.82,309831.82
778,2019,Merced County,Townhouse,2.33,300833.33
779,2020,Merced County,All Residential,452.27,336777.27
780,2020,Merced County,Condo/Co-op,6.6,220750.0
781,2020,Merced County,Multi-Family (2-4 Unit),17.27,357363.64
782,2020,Merced County,Single Family Residential,425.73,337691.23
783,2020,Merced County,Townhouse,3.0,293333.33
784,2021,Merced County,All Residential,291.09,400764.77
785,2021,Merced County,Condo/Co-op,4.67,297333.33
786,2021,Merced County,Multi-Family (2-4 Unit),24.73,397136.36
787,2021,Merced County,Single Family Residential,260.55,403204.77
788,2021,Merced County,Townhouse,1.29,324571.43
789,2022,Merced County,All Residential,436.0,806000.0
790,2022,Merced County,Condo/Co-op,3.0,515000.0
791,2022,Merced County,Multi-Family (2-4 Unit),34.0,770637.5
792,2022,Merced County,Single Family Residential,399.0,812000.0
793,2022,Merced County,Townhouse,0.0,290000.0
794,2012,Monterey County,All Residential,902.0,308545.45
795,2012,Monterey County,Condo/Co-op,67.27,234931.82
796,2012,Monterey County,Multi-Family (2-4 Unit),19.27,338690.91
797,2012,Monterey County,Single Family Residential,787.36,314200.0
798,2012,Monterey County,Townhouse,28.09,407650.0
799,2013,Monterey County,All Residential,707.45,406481.82
800,2013,Monterey County,Condo/Co-op,48.18,335818.18
801,2013,Monterey County,Multi-Family (2-4 Unit),17.55,372477.27
802,2013,Monterey County,Single Family Residential,626.18,413250.0
803,2013,Monterey County,Townhouse,15.55,410963.64
804,2014,Monterey County,All Residential,865.55,467209.09
805,2014,Monterey County,Condo/Co-op,70.0,366795.45
806,2014,Monterey County,Multi-Family (2-4 Unit),26.64,549681.82
807,2014,Monterey County,Single Family Residential,752.0,477390.91
808,2014,Monterey County,Townhouse,17.8,465825.0
809,2015,Monterey County,All Residential,915.91,499900.0
810,2015,Monterey County,Condo/Co-op,63.18,398500.0
811,2015,Monterey County,Multi-Family (2-4 Unit),29.73,569061.36
812,2015,Monterey County,Single Family Residential,807.73,509237.68
813,2015,Monterey County,Townhouse,15.27,546231.82
814,2016,Monterey County,All Residential,1019.64,538772.73
815,2016,Monterey County,Condo/Co-op,71.27,422163.64
816,2016,Monterey County,Multi-Family (2-4 Unit),35.36,585227.27
817,2016,Monterey County,Single Family Residential,896.36,550113.64
818,2016,Monterey County,Townhouse,16.64,627727.27
819,2017,Monterey County,All Residential,951.91,610204.95
820,2017,Monterey County,Condo/Co-op,73.91,485318.18
821,2017,Monterey County,Multi-Family (2-4 Unit),27.73,778954.55
822,2017,Monterey County,Single Family Residential,833.27,618272.73
823,2017,Monterey County,Townhouse,17.0,571113.64
824,2018,Monterey County,All Residential,946.55,644000.0
825,2018,Monterey County,Condo/Co-op,91.36,515700.0
826,2018,Monterey County,Multi-Family (2-4 Unit),24.09,704500.0
827,2018,Monterey County,Single Family Residential,809.91,660147.27
828,2018,Monterey County,Townhouse,21.18,630043.77
829,2019,Monterey County,All Residential,960.27,655659.09
830,2019,Monterey County,Condo/Co-op,110.82,490678.59
831,2019,Monterey County,Multi-Family (2-4 Unit),19.9,761925.0
832,2019,Monterey County,Single Family Residential,807.45,671886.36
833,2019,Monterey County,Townhouse,23.0,651437.41
834,2020,Monterey County,All Residential,752.09,748609.09
835,2020,Monterey County,Condo/Co-op,76.91,559068.18
836,2020,Monterey County,Multi-Family (2-4 Unit),18.82,692411.14
837,2020,Monterey County,Single Family Residential,642.36,785863.64
838,2020,Monterey County,Townhouse,14.0,671450.0
839,2021,Monterey County,All Residential,537.73,872250.0
840,2021,Monterey County,Condo/Co-op,45.09,627863.64
841,2021,Monterey County,Multi-Family (2-4 Unit),15.55,1062045.45
842,2021,Monterey County,Single Family Residential,464.0,898090.91
843,2021,Monterey County,Townhouse,13.09,781772.73
844,2022,Monterey County,All Residential,584.0,1663000.0
845,2022,Monterey County,Condo/Co-op,59.0,1307500.0
846,2022,Monterey County,Multi-Family (2-4 Unit),25.0,1795000.0
847,2022,Monterey County,Single Family Residential,490.0,1713000.0
848,2022,Monterey County,Townhouse,10.0,1304000.0
849,2012,Napa County,All Residential,459.0,379859.09
850,2012,Napa County,Condo/Co-op,45.36,282274.36
851,2012,Napa County,Multi-Family (2-4 Unit),70.27,677272.73
852,2012,Napa County,Single Family Residential,343.36,378372.73
853,2013,Napa County,All Residential,382.73,490500.0
854,2013,Napa County,Condo/Co-op,29.27,374318.18
855,2013,Napa County,Multi-Family (2-4 Unit),72.27,850395.45
856,2013,Napa County,Single Family Residential,281.18,496500.0
857,2014,Napa County,All Residential,398.27,560522.73
858,2014,Napa County,Condo/Co-op,28.73,380236.36
859,2014,Napa County,Multi-Family (2-4 Unit),64.45,1178312.64
860,2014,Napa County,Single Family Residential,305.09,566722.73
861,2015,Napa County,All Residential,446.36,615045.45
862,2015,Napa County,Condo/Co-op,32.82,428618.18
863,2015,Napa County,Multi-Family (2-4 Unit),75.45,1025022.73
864,2015,Napa County,Single Family Residential,338.09,619272.73
865,2016,Napa County,All Residential,477.27,655289.68
866,2016,Napa County,Condo/Co-op,28.91,473500.0
867,2016,Napa County,Multi-Family (2-4 Unit),73.36,1461254.55
868,2016,Napa County,Single Family Residential,374.82,659931.82
869,2016,Napa County,Townhouse,0.0,437000.0
870,2017,Napa County,All Residential,437.82,698659.09
871,2017,Napa County,Condo/Co-op,29.09,510045.45
872,2017,Napa County,Multi-Family (2-4 Unit),70.55,1121350.0
873,2017,Napa County,Single Family Residential,338.18,699840.91
874,2018,Napa County,All Residential,445.36,733095.45
875,2018,Napa County,Condo/Co-op,30.91,563663.64
876,2018,Napa County,Multi-Family (2-4 Unit),68.73,1192827.27
877,2018,Napa County,Single Family Residential,345.73,734050.0
878,2019,Napa County,All Residential,510.82,739909.05
879,2019,Napa County,Condo/Co-op,48.0,548477.27
880,2019,Napa County,Multi-Family (2-4 Unit),83.91,1275227.27
881,2019,Napa County,Single Family Residential,378.73,734045.41
882,2020,Napa County,All Residential,429.45,791772.73
883,2020,Napa County,Condo/Co-op,52.09,555590.91
884,2020,Napa County,Multi-Family (2-4 Unit),75.09,1570090.91
885,2020,Napa County,Single Family Residential,301.36,792204.55
886,2020,Napa County,Townhouse,1.0,774539.0
887,2021,Napa County,All Residential,343.27,904663.82
888,2021,Napa County,Condo/Co-op,26.09,625008.59
889,2021,Napa County,Multi-Family (2-4 Unit),28.18,1396409.09
890,2021,Napa County,Single Family Residential,282.27,937295.45
891,2021,Napa County,Townhouse,6.73,712662.14
892,2022,Napa County,All Residential,406.0,1662500.0
893,2022,Napa County,Condo/Co-op,29.0,1094000.0
894,2022,Napa County,Multi-Family (2-4 Unit),34.0,2700000.0
895,2022,Napa County,Single Family Residential,339.0,1750000.0
896,2022,Napa County,Townhouse,4.0,1344342.5
897,2012,Nevada County,All Residential,311.55,285818.18
898,2012,Nevada County,Condo/Co-op,33.55,274036.36
899,2012,Nevada County,Multi-Family (2-4 Unit),0.33,182895.44
900,2012,Nevada County,Single Family Residential,277.09,291863.64
901,2012,Nevada County,Townhouse,0.56,173000.0
902,2013,Nevada County,All Residential,378.45,349886.36
903,2013,Nevada County,Condo/Co-op,40.27,322963.64
904,2013,Nevada County,Multi-Family (2-4 Unit),0.9,291215.0
905,2013,Nevada County,Single Family Residential,337.0,353565.86
906,2013,Nevada County,Townhouse,0.22,242010.22
907,2014,Nevada County,All Residential,457.0,379240.91
908,2014,Nevada County,Condo/Co-op,42.45,306490.91
909,2014,Nevada County,Multi-Family (2-4 Unit),2.5,422250.0
910,2014,Nevada County,Single Family Residential,411.82,383065.18
911,2014,Nevada County,Townhouse,0.0,256468.83
912,2015,Nevada County,All Residential,450.45,404000.0
913,2015,Nevada County,Condo/Co-op,44.27,350431.82
914,2015,Nevada County,Multi-Family (2-4 Unit),3.62,302207.44
915,2015,Nevada County,Single Family Residential,402.64,409045.45
916,2015,Nevada County,Townhouse,0.0,303757.67
917,2016,Nevada County,All Residential,453.09,426409.09
918,2016,Nevada County,Condo/Co-op,45.18,360692.55
919,2016,Nevada County,Multi-Family (2-4 Unit),3.22,439833.33
920,2016,Nevada County,Single Family Residential,404.55,433459.09
921,2016,Nevada County,Townhouse,0.0,268000.0
922,2017,Nevada County,All Residential,419.36,478736.36
923,2017,Nevada County,Condo/Co-op,35.64,382500.0
924,2017,Nevada County,Multi-Family (2-4 Unit),1.83,476368.75
925,2017,Nevada County,Single Family Residential,381.64,485704.55
926,2017,Nevada County,Townhouse,0.25,308500.0
927,2018,Nevada County,All Residential,439.0,504454.55
928,2018,Nevada County,Condo/Co-op,32.45,413750.0
929,2018,Nevada County,Multi-Family (2-4 Unit),1.43,664503.57
930,2018,Nevada County,Single Family Residential,405.0,510757.14
931,2018,Nevada County,Townhouse,0.0,387000.0
932,2019,Nevada County,All Residential,705.18,497734.91
933,2019,Nevada County,Condo/Co-op,36.64,449636.36
934,2019,Nevada County,Multi-Family (2-4 Unit),5.67,650833.33
935,2019,Nevada County,Single Family Residential,663.82,503795.45
936,2019,Nevada County,Townhouse,0.0,373500.0
937,2020,Nevada County,All Residential,548.91,564250.0
938,2020,Nevada County,Condo/Co-op,32.73,497613.64
939,2020,Nevada County,Multi-Family (2-4 Unit),12.0,519844.44
940,2020,Nevada County,Single Family Residential,502.27,572045.45
941,2020,Nevada County,Townhouse,3.5,335000.0
942,2021,Nevada County,All Residential,353.55,681681.82
943,2021,Nevada County,Condo/Co-op,19.27,620140.91
944,2021,Nevada County,Multi-Family (2-4 Unit),18.09,742704.55
945,2021,Nevada County,Single Family Residential,315.64,684472.73
946,2021,Nevada County,Townhouse,0.6,703905.2
947,2022,Nevada County,All Residential,415.0,1219000.0
948,2022,Nevada County,Condo/Co-op,19.0,1138500.0
949,2022,Nevada County,Multi-Family (2-4 Unit),24.0,1467500.0
950,2022,Nevada County,Single Family Residential,372.0,1214000.0
951,2012,Orange County,All Residential,6647.82,461590.91
952,2012,Orange County,Condo/Co-op,2065.09,291159.09
953,2012,Orange County,Multi-Family (2-4 Unit),175.09,699840.91
954,2012,Orange County,Single Family Residential,4383.27,559568.18
955,2012,Orange County,Townhouse,24.36,359522.73
956,2013,Orange County,All Residential,4617.36,565000.0
957,2013,Orange County,Condo/Co-op,1277.36,365250.0
958,2013,Orange County,Multi-Family (2-4 Unit),164.36,833772.73
959,2013,Orange County,Single Family Residential,2967.0,679340.91
960,2013,Orange County,Townhouse,208.64,445977.27
961,2014,Orange County,All Residential,6906.27,612618.18
962,2014,Orange County,Condo/Co-op,1994.91,396181.82
963,2014,Orange County,Multi-Family (2-4 Unit),190.73,903909.09
964,2014,Orange County,Single Family Residential,4338.64,728731.82
965,2014,Orange County,Townhouse,382.0,474149.09
966,2015,Orange County,All Residential,7915.18,645208.68
967,2015,Orange County,Condo/Co-op,2115.18,420699.0
968,2015,Orange County,Multi-Family (2-4 Unit),230.45,958340.91
